Using device: cuda
NVIDIA H200
Memory Usage:
Allocated: 0.0 GB
Cached:    0.0 GB
torch.Size([20075, 1, 14, 30]) torch.Size([20075, 1, 56, 120]) torch.Size([34675, 1, 14, 30]) torch.Size([34675, 1, 56, 120])
Epoch 234 | SR Loss: 4.62376 | Domain Loss: 0.54890 | Test Loss: 4.95371
Epoch 235 | SR Loss: 4.52286 | Domain Loss: 0.55181 | Test Loss: 4.49430
Epoch 236 | SR Loss: 4.53456 | Domain Loss: 0.55080 | Test Loss: 4.29502
Epoch 237 | SR Loss: 4.58087 | Domain Loss: 0.54668 | Test Loss: 4.14727
Epoch 238 | SR Loss: 4.47846 | Domain Loss: 0.54703 | Test Loss: 4.16081
Epoch 239 | SR Loss: 4.58412 | Domain Loss: 0.54894 | Test Loss: 4.71504
Epoch 240 | SR Loss: 4.54724 | Domain Loss: 0.54537 | Test Loss: 4.52792
Epoch 241 | SR Loss: 4.56087 | Domain Loss: 0.54395 | Test Loss: 4.09947
Epoch 242 | SR Loss: 4.53633 | Domain Loss: 0.54849 | Test Loss: 4.16209
Epoch 243 | SR Loss: 4.52872 | Domain Loss: 0.54803 | Test Loss: 4.25704
Epoch 244 | SR Loss: 4.54885 | Domain Loss: 0.54266 | Test Loss: 4.12858
Epoch 245 | SR Loss: 4.47902 | Domain Loss: 0.54047 | Test Loss: 4.29583
Epoch 246 | SR Loss: 4.48417 | Domain Loss: 0.54606 | Test Loss: 4.37668
Epoch 247 | SR Loss: 4.52723 | Domain Loss: 0.54117 | Test Loss: 5.49036
Epoch 248 | SR Loss: 4.52719 | Domain Loss: 0.54190 | Test Loss: 4.53280
Epoch 249 | SR Loss: 4.45993 | Domain Loss: 0.54583 | Test Loss: 4.40548
Epoch 250 | SR Loss: 4.46489 | Domain Loss: 0.54162 | Test Loss: 4.29561
Epoch 251 | SR Loss: 4.46707 | Domain Loss: 0.53889 | Test Loss: 4.29910
Epoch 252 | SR Loss: 4.52143 | Domain Loss: 0.53933 | Test Loss: 4.20199
Epoch 253 | SR Loss: 4.44541 | Domain Loss: 0.53768 | Test Loss: 4.11478
Epoch 254 | SR Loss: 4.46416 | Domain Loss: 0.53997 | Test Loss: 4.39970
Epoch 255 | SR Loss: 4.37501 | Domain Loss: 0.53780 | Test Loss: 4.34159
Epoch 256 | SR Loss: 4.40618 | Domain Loss: 0.53901 | Test Loss: 4.05371
Epoch 257 | SR Loss: 4.45752 | Domain Loss: 0.53975 | Test Loss: 4.12324
Epoch 258 | SR Loss: 4.45219 | Domain Loss: 0.53808 | Test Loss: 4.32335
Epoch 259 | SR Loss: 4.37274 | Domain Loss: 0.53661 | Test Loss: 4.27010
Epoch 260 | SR Loss: 4.40192 | Domain Loss: 0.53662 | Test Loss: 4.13530
Epoch 261 | SR Loss: 4.44436 | Domain Loss: 0.53406 | Test Loss: 4.13636
Epoch 262 | SR Loss: 4.43319 | Domain Loss: 0.53596 | Test Loss: 4.06008
Epoch 263 | SR Loss: 4.38943 | Domain Loss: 0.53312 | Test Loss: 4.10888
Epoch 264 | SR Loss: 4.42512 | Domain Loss: 0.53368 | Test Loss: 4.16995
Epoch 265 | SR Loss: 4.35347 | Domain Loss: 0.53214 | Test Loss: 4.19511
Epoch 266 | SR Loss: 4.36461 | Domain Loss: 0.53457 | Test Loss: 4.15355
Epoch 267 | SR Loss: 4.35789 | Domain Loss: 0.53127 | Test Loss: 4.18956
Epoch 268 | SR Loss: 4.37213 | Domain Loss: 0.53167 | Test Loss: 4.40877
Epoch 269 | SR Loss: 4.38151 | Domain Loss: 0.53281 | Test Loss: 4.12482
